Date,Day,Num_Day,Month,Num_Month,Year,Time,Author,Message,Letters,Words
20/11/2021,Sabado,20,Nov,11,2021,15:37:00,user 0,<Multimedia omitido>,20,2
20/11/2021,Sabado,20,Nov,11,2021,15:53:00,user 1,<Multimedia omitido>,20,2
20/11/2021,Sabado,20,Nov,11,2021,15:57:00,user 2,<Multimedia omitido>,20,2
20/11/2021,Sabado,20,Nov,11,2021,16:20:00,user 3,Buenas tardes!! Tienen el número de la carpintería del recreo? Agradezco 🙏🏻,75,12
20/11/2021,Sabado,20,Nov,11,2021,16:26:00,user 4,<Multimedia omitido>,20,2
20/11/2021,Sabado,20,Nov,11,2021,16:44:00,user 5,"Deliciosas, super recomendadas",30,3
20/11/2021,Sabado,20,Nov,11,2021,16:47:00,user 4,Gracias por preferirnos 😉👩🏼‍🍳,29,4
20/11/2021,Sabado,20,Nov,11,2021,17:17:00,user 3,"Buenas tardes! Alguien con casa en arriendo de tres habitaciones, preferiblemente en el placer, piedra gorda, Paysandú, la palma, veredas cercanas al silletero. Agradezco información.",183,25
20/11/2021,Sabado,20,Nov,11,2021,17:35:00,user 6,‎Sebastián Chacho.vcf (archivo adjunto),39,4
20/11/2021,Sabado,20,Nov,11,2021,17:37:00,user 3,Gracias,7,1
20/11/2021,Sabado,20,Nov,11,2021,17:39:00,user 7,‎Ebanistería Los Chacho s Sebastián.vcf (archivo adjunto),57,7
20/11/2021,Sabado,20,Nov,11,2021,17:39:00,user 7,esos 2,6,2
20/11/2021,Sabado,20,Nov,11,2021,17:58:00,user 8,<Multimedia omitido>,20,2
20/11/2021,Sabado,20,Nov,11,2021,18:05:00,user 9,Hola buenas noches ... El gana que se encuentra en el parque de Santa Elena hasta qué horas está abierto ?,106,21
20/11/2021,Sabado,20,Nov,11,2021,18:06:00,user 10,<Multimedia omitido>,20,2
20/11/2021,Sabado,20,Nov,11,2021,18:06:00,user 10,<Multimedia omitido>,20,2
20/11/2021,Sabado,20,Nov,11,2021,18:06:00,user 10,"Grupo buenas tardes 6 personas capturadas 1 carro y 2 motos inmovilizadas recuperación de 11 celulares, dinero y cascos nuevos, en sector San Ignacio gracias a la buena información de la comunidad y los grupos de wassap quienes habían robado en la bomba de gasolina zeussPor una Santa elena segura gracias comunidad yo apoyo mi policia los buenos somos mas",356,60
20/11/2021,Sabado,20,Nov,11,2021,18:07:00,user 9,Hola buenas noches ... El gana que se encuentra en el parque de Santa Elena hasta qué horas está abierto ?,106,21
20/11/2021,Sabado,20,Nov,11,2021,18:11:00,user 11,Sr Molina Mis respetos Agradecimientos a su equipo de efectivos 🙏🏻🙏🏻🙏🏻🙏🏻,72,11
20/11/2021,Sabado,20,Nov,11,2021,18:20:00,user 12,Que labor tan maravillosa. Gracias por cuidarnos..Un abrazo,59,8
20/11/2021,Sabado,20,Nov,11,2021,18:49:00,user 7,"excelente labor, son unos tesos en esas persecuciones",53,8
20/11/2021,Sabado,20,Nov,11,2021,18:52:00,user 13,Por decadas estuvimos acostumbrados a que la policia no hiciera nada en Santa Elena felicitaciones al subcomisario Molina y a su equipo de trabajo porque desde que llegó ha hecho yba gran labor social y de seguridad.,216,37
20/11/2021,Sabado,20,Nov,11,2021,20:08:00,user 14,<Multimedia omitido>,20,2
20/11/2021,Sabado,20,Nov,11,2021,20:08:00,user 14,<Multimedia omitido>,20,2
20/11/2021,Sabado,20,Nov,11,2021,20:08:00,user 14,<Multimedia omitido>,20,2
